FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_SEP,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
flat0003.a.fits,A,flat lamp,calibration,fixed,+11:18:22.53,-05:03:53.3,2001-04-30,07:05:37.890702,52029.29557743868,1.102,0.6,20,spex,0.8x15,Prism,2001A014,Hardersen,,,,,,,,,
flat0004.a.fits,A,flat lamp,calibration,fixed,+11:18:22.53,-05:03:53.3,2001-04-30,07:06:03.309723,52029.295871640315,1.102,0.6,20,spex,0.8x15,Prism,2001A014,Hardersen,,,,,,,,,
flat0005.a.fits,A,flat lamp,calibration,fixed,+11:18:22.54,-05:03:53.3,2001-04-30,07:06:26.494762,52029.29613998567,1.102,0.6,20,spex,0.8x15,Prism,2001A014,Hardersen,,,,,,,,,
flat0006.a.fits,A,flat lamp,calibration,fixed,+11:18:22.53,-05:03:53.3,2001-04-30,07:06:49.657351,52029.29640807119,1.102,0.6,20,spex,0.8x15,Prism,2001A014,Hardersen,,,,,,,,,
flat0007.a.fits,A,flat lamp,calibration,fixed,+11:18:22.53,-05:03:53.3,2001-04-30,07:07:12.798492,52029.296675908474,1.102,0.6,20,spex,0.8x15,Prism,2001A014,Hardersen,,,,,,,,,
arc0008.a.fits,A,arc lamp,calibration,fixed,+11:18:22.54,-05:03:53.3,2001-04-30,07:07:42.562496,52029.29702039926,1.102,0.18,10,spex,0.8x15,Prism,2001A014,Hardersen,,,,,,,,,
spec0009.a.fits,A,SAO 138119,standard,fixed,+11:18:22.45,-05:03:52.5,2001-04-30,07:10:40.155029,52029.29907586839,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0010.b.fits,B,SAO 138119,standard,fixed,+11:18:22.46,-05:03:45.0,2001-04-30,07:10:46.397638,52029.29914812081,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0011.b.fits,B,SAO 138119,standard,fixed,+11:18:22.47,-05:03:45.3,2001-04-30,07:10:48.688291,52029.299174633,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0012.a.fits,A,SAO 138119,standard,fixed,+11:18:22.44,-05:03:52.6,2001-04-30,07:10:54.897724,52029.29924650143,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0013.a.fits,A,SAO 138119,standard,fixed,+11:18:22.44,-05:03:52.6,2001-04-30,07:10:57.085730,52029.29927182558,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0014.b.fits,B,SAO 138119,standard,fixed,+11:18:22.47,-05:03:45.0,2001-04-30,07:11:03.307811,52029.29934384041,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0015.b.fits,B,SAO 138119,standard,fixed,+11:18:22.46,-05:03:45.0,2001-04-30,07:11:05.500021,52029.29936921321,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0016.a.fits,A,SAO 138119,standard,fixed,+11:18:22.45,-05:03:52.5,2001-04-30,07:11:11.997922,52029.299444420394,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0017.a.fits,A,SAO 138119,standard,fixed,+11:18:22.45,-05:03:52.4,2001-04-30,07:11:14.225759,52029.299470205544,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0018.b.fits,B,SAO 138119,standard,fixed,+11:18:22.47,-05:03:44.9,2001-04-30,07:11:20.478035,52029.29954256985,1.103,1.0,1,spex,0.8x15,Prism,2001A014,Hardersen,11.778241,HD  98281,G8V,7.993,7.232,5.914,5.575,5.457,
spec0019.a.fits,A,216 Kleopatra,target,fixed,+10:55:06.54,-03:32:21.5,2001-04-30,07:29:32.815845,52029.31218536857,1.114,120.0,1,spex,0.8x15,Prism,2001A014,Hardersen,,,,,,,,,
spec0020.b.fits,B,216 Kleopatra,target,fixed,+10:55:06.54,-03:32:13.8,2001-04-30,07:31:54.175795,52029.31382147911,1.117,120.0,1,spex,0.8x15,Prism,2001A014,Hardersen,,,,,,,,,
