FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_CLASS,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_GMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
nt50617.a.fits,A,HD 186427,standard,moving,+19:41:52.19,+50:31:00.6,2001/9/25,51:28.3,52177.20241,1.187,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt50618.b.fits,B,HD 186427,standard,moving,+19:41:52.16,+50:31:07.8,2001/9/25,52:03.7,52177.20282,1.186,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt50619.b.fits,B,HD 186427,standard,moving,+19:41:52.18,+50:31:07.8,2001/9/25,52:35.8,52177.20319,1.186,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt50620.a.fits,A,HD 186427,standard,moving,+19:41:52.22,+50:31:00.1,2001/9/25,53:11.0,52177.2036,1.186,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt50621.a.fits,A,HD 186427,standard,moving,+19:41:52.21,+50:31:00.1,2001/9/25,53:43.2,52177.20397,1.185,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt50622.b.fits,B,HD 186427,standard,moving,+19:41:52.20,+50:31:07.5,2001/9/25,54:18.4,52177.20438,1.185,0.5135,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt50623.a.fits,A,HD 186427,standard,moving,+19:41:52.24,+50:30:59.8,2001/9/25,55:53.3,52177.20548,1.183,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt50624.b.fits,B,HD 186427,standard,moving,+19:41:52.21,+50:31:07.1,2001/9/25,56:16.9,52177.20575,1.183,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt50625.b.fits,B,HD 186427,standard,moving,+19:41:52.22,+50:31:07.0,2001/9/25,56:37.4,52177.20599,1.183,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
nt50626.a.fits,A,HD 186427,standard,moving,+19:41:52.23,+50:30:59.6,2001/9/25,57:00.9,52177.20626,1.183,0.32,30,spex,0.5x15,Prism,2001B099,Sheppard,*  16 Cyg B,G3V,HighPM*,6.86,6.2,6.073419,4.99,4.7,4.651,
